ARG	ID	RESULTNAME	KOMMENTAR	LABEL	DATENTYP	NAME	EINHEIT	
-	0x589E	STAT_0x589E_WERT	Status VVT- Entlastungsrelais	STATE_RLY_VVL_ADJ_EXT	0xFF	_CNV_S_3_STATE_RLY__374	0-n	
IWVVT	0x589F	STAT_VVT_ISTWINKEL_WERT	VVT Istwinkel	ANG_EXC_VVL_KWP	unsigned char	-	°	
SWVVT	0x58A0	STAT_VVT_SOLLWINKEL_WERT	VVT Sollwinkel	ANG_SP_CTL_VVL_KWP	unsigned char	-	%	
-	0x58A1	STAT_0x58A1_WERT	Ausgegeben Tastverhältnis	PWM_DR_OUT_SET_VVL_KWP	unsigned char	-	%	
IIVVM	0x58A2	STAT_VVT_MOTORSTROM_WERT	VVT Motorstrom	CUR_MOT_VVL_3_KWP	signed char	-	A	
ITVVM	0x58A3	STAT_VVT_MOTORTEMPERATUR_WERT	VVT Motortemperatur	TEMP_MOT_VVL_KWP	signed char	-	°	
IUVVT	0x58A4	STAT_VVT_SPANNUNGSVERSORGUNG_WERT	VVT Spannungsversorgung	VCC_DR_VVL_KWP	unsigned char	-	V	
IUVVS	0x58A5	STAT_VVT_SENSORVERSORGUNGSSPANNUNG_WERT	VVT Sensorversorgungsspannung	V_VCC_SENS_VVL_KWP	unsigned char	-	V	
IDVVS	0x58A6	STAT_VVT_SENSORDIFFERENZ_WERT	VVT Sensordifferenz	ANG_DE_ABSV_PLAUS_CHK_VVL_KWP	unsigned char	-	°	
ITVVE	0x58A7	STAT_VVT_ENDSTUFENTEMPERATUR_WERT	VVT Endstufentemperatur	TEMP_SWI_MES_MAX_VVL_KWP	signed char	-	°C	
IZMAB	0x58A8	STAT_MOTORABSTELLZEIT_WERT	Motorabstellzeit	T_ES_KWP	unsigned char	-	min	
-	0x58A9	STAT_0x58A9_WERT	Reset Zähler Überwachungsrechner	RST_CTR_MU_SAVE	unsigned char	-	-	
-	0x58AA	STAT_0x58AA_WERT	Reset Zähler Hauptrechner	RST_CTR_MC_SAVE	unsigned char	-	-	
IADK1	0x58AB	STAT_ABWEICHUNG_DK_POTI1_WERT	Abweichung DK-Ersatzwert und DK-Poti 1	TPS_MAF_DIF_INT_1	unsigned char	-	mg/stk	
IADK2	0x58AC	STAT_ABWEICHUNG_DK_POTI2_WERT	Abweichung DK-Ersatzwert und DK-Poti 2	TPS_MAF_DIF_INT_2	unsigned char	-	mg/stk	
IPWG1	0x58AD	STAT_PEDALWERTGEBER1_WERT	Pedalwertgeber 1	PV_AV_1	unsigned char	-	%	
